media_type,media_series,creation_category,date,time_start,time_end,duration,media_title,video_type,video_subtype
Movies,Indiana Jones Series,Pictures,6/23/2025,8:36:00 PM,9:06:00 PM,30,Indiana Jones and the Kingdom of the Crystal Skull,Review,3 Things
Movies,Jurassic Park Series,Recording Video,6/24/2025,9:47:00 AM,10:05:00 AM,18,Jurassic World: Dominion,Review,3 Things
Movies,Jurassic Park Series,Recording Video,6/24/2025,10:13:00 AM,10:56:00 AM,43,Jurassic World: Dominion,Review,3 Things
Movies,Jurassic Park Series,Recording Video,6/24/2025,2:28:00 PM,3:04:00 PM,36,Jurassic World: Dominion,Review,3 Things
Movies,Jurassic Park Series,Editing Video,6/24/2025,3:04:00 PM,3:20:00 PM,16,Jurassic World: Dominion,Review,3 Things
Movies,Jurassic Park Series,Recording Video,6/24/2025,3:21:00 PM,4:24:00 PM,63,Jurassic World: Dominion,Review,3 Things
Movies,Jurassic Park Series,Pictures,6/24/2025,5:40:00 PM,5:47:00 PM,7,Jurassic World: Fallen Kingdom,Review,3 Things
Movies,Jurassic Park Series,Recording Video,6/25/2025,11:08:00 AM,12:01:00 PM,53,Jurassic World: Dominion,Review,3 Things
Movies,Jurassic Park Series,Editing Video,6/25/2025,1:19:00 PM,1:58:00 PM,39,Jurassic World: Dominion,Review,3 Things
Movies,Jurassic Park Series,Editing Video,6/25/2025,3:46:00 PM,4:32:00 PM,46,Jurassic World: Dominion,Review,3 Things
Movies,Jurassic Park Series,Editing Video,6/25/2025,6:21:00 PM,6:45:00 PM,24,Jurassic World: Dominion,Review,3 Things
Movies,Jurassic Park Series,Editing Video,6/26/2025,1:12:00 PM,2:29:00 PM,77,Jurassic World: Dominion,Review,3 Things
Movies,Jurassic Park Series,Editing Video,6/26/2025,2:44:00 PM,3:09:00 PM,25,Jurassic World: Dominion,Review,3 Things
Movies,Jurassic Park Series,Editing Video,6/26/2025,3:13:00 PM,3:39:00 PM,26,Jurassic World: Dominion,Review,3 Things
Movies,Jurassic Park Series,Editing Video,6/26/2025,3:49:00 PM,4:31:00 PM,42,Jurassic World: Dominion,Review,3 Things
Movies,Jurassic Park Series,Editing Video,6/26/2025,8:03:00 PM,8:27:00 PM,24,Jurassic World: Dominion,Review,3 Things
Movies,Jurassic Park Series,Editing Video,6/26/2025,8:52:00 PM,8:55:00 PM,3,Jurassic World: Dominion,Review,3 Things
Movies,Jurassic Park Series,Editing Video,6/26/2025,9:04:00 PM,9:08:00 PM,4,Jurassic World: Dominion,Review,3 Things
Movies,Jurassic Park Series,Editing Video,6/26/2025,10:36:00 PM,12:09:00 AM,93,Jurassic World: Dominion,Review,3 Things
Movies,Jurassic Park Series,Editing Video,6/27/2025,3:16:00 PM,4:07:00 PM,51,Jurassic World: Dominion,Review,3 Things
Movies,Jurassic Park Series,Editing Video,6/27/2025,4:33:00 PM,4:48:00 PM,15,Jurassic World: Dominion,Review,3 Things
Movies,Jurassic Park Series,Editing Video,6/27/2025,4:33:00 PM,4:48:00 PM,15,Jurassic World: Dominion,Review,3 Things
Movies,Jurassic Park Series,Editing Video,6/27/2025,5:04:00 PM,5:21:00 PM,17,Jurassic World: Dominion,Review,3 Things
Movies,Jurassic Park Series,Editing Video,6/27/2025,6:42:00 PM,6:55:00 PM,13,Jurassic World: Dominion,Review,3 Things
Movies,Jurassic Park Series,Editing Video,6/27/2025,11:42:00 PM,12:53:00 AM,71,Jurassic World: Dominion,Review,3 Things
Movies,Jurassic Park Series,Editing Video,6/28/2025,12:51:00 PM,1:03:00 PM,12,Jurassic World: Dominion,Review,3 Things
Movies,Jurassic Park Series,Editing Video,6/28/2025,1:07:00 PM,1:12:00 PM,5,Jurassic World: Dominion,Review,3 Things
Movies,Jurassic Park Series,Editing Video,6/28/2025,8:58:00 PM,9:09:00 PM,11,Jurassic World: Dominion,Review,3 Things
